City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
12,Kavieng,PG,80.92,-2.5744,150.7967,overcast clouds,Nusa Island Retreat
15,Alofi,NU,78.69,-19.0595,-169.9187,broken clouds,Taloa Heights
17,Yanam,IN,77.85,16.7333,82.2167,overcast clouds,The Regency Hotel
22,Odweyne,SO,78.69,9.4092,45.064,light rain,Eng Hiirey House
23,Arraial Do Cabo,BR,75.16,-22.9661,-42.0278,broken clouds,Pousada Porto Praia
31,Rapid Valley,US,87.85,44.0625,-103.1463,clear sky,Fairfield Inn & Suites by Marriott Rapid City
40,Acapulco,MX,85.82,16.8634,-99.8901,scattered clouds,HS Hotsson Smart Acapulco
43,Lazaro Cardenas,MX,86.29,17.9583,-102.2,scattered clouds,quinta antigua
46,Hithadhoo,MV,83.61,-0.6,73.0833,few clouds,Scoop Guest House
48,Manta,EC,78.58,-0.95,-80.7333,few clouds,Balandra Hotel
50,Sao Filipe,CV,80.74,14.8961,-24.4956,few clouds,Hotel Xaguate
52,Nanakuli,US,84.15,21.3906,-158.1547,few clouds,Camp Pālehua
53,Butaritari,KI,81.93,3.0707,172.7902,overcast clouds,Isles Sunset Lodge
58,Vaini,TO,77.16,-21.2,-175.2,broken clouds,Keleti Beach Resort
60,Bilma,NE,88.45,18.6853,12.9164,clear sky,Expeditions Ténére voyages
62,Yankton,US,80.85,42.8711,-97.3973,clear sky,"Holiday Inn Express & Suites Yankton, an IHG Hotel"
63,Pathein,MM,76.77,16.7833,94.7333,clear sky,New Pammawaddy Hotel
70,Amahai,ID,75.87,-3.3333,128.9167,broken clouds,HOTEL ISABELA
71,Tallahassee,US,82.92,30.4383,-84.2807,overcast clouds,Four Points by Sheraton Tallahassee Downtown
79,Salalah,OM,80.69,17.0151,54.0924,broken clouds,HAMDAN PLAZA HOTEL SALALAH
83,Sakakah,SA,81.97,29.9697,40.2064,clear sky,Fakhamat Al Orjoana Apartment
92,Puerto Ayora,EC,78.76,-0.7393,-90.3518,broken clouds,Finch Bay Galapagos Hotel
99,Batticaloa,LK,78.19,7.7102,81.6924,moderate rain,Grand Star Guest House
100,Atuona,PF,78.22,-9.8,-139.0333,clear sky,Villa Enata
102,Siparia,TT,86.95,10.1333,-61.5,broken clouds,Brook Gardens
103,Kudahuvadhoo,MV,82.8,2.6708,72.8944,overcast clouds,Niyama Private Islands Maldives
111,Kapaa,US,80.92,22.0752,-159.319,light rain,Sheraton Kauai Coconut Beach Resort
113,Bengkulu,ID,75.45,-3.8004,102.2655,moderate rain,Grage Hotel Bengkulu
114,Ponta Delgada,PT,75.51,37.7333,-25.6667,few clouds,Vila Nova Hotel
115,Carmen,MX,87.84,18.6333,-91.8333,few clouds,Hotel Lossandes
117,Hamilton,US,76.73,39.1834,-84.5333,moderate rain,Six Acres Bed & Breakfast
119,Sola,VU,79.23,-13.8833,167.55,broken clouds,Leumerus Bungalows
120,Miles City,US,85.17,46.4083,-105.8406,clear sky,FairBridge Inn & Suites Miles City
121,Srivardhan,IN,79.47,18.0333,73.0167,broken clouds,Savli Resort/Hotel - Shrivardhan
126,Saint George,US,90.07,37.1041,-113.5841,clear sky,Best Western Plus Abbey Inn
127,Sao Joao Da Barra,BR,82.49,-21.6403,-41.0511,scattered clouds,Pousada Porto De Canoas
128,Lincoln,US,83.14,40.8,-96.667,clear sky,Courtyard by Marriott Lincoln Downtown/Haymarket
130,Itarema,BR,81.37,-2.9248,-39.9167,broken clouds,"Sea Lounge! Bar, Club & Restaurant"
135,Sawakin,SD,84.25,19.1059,37.3321,overcast clouds,فندق الدويم
138,Devarkonda,IN,76.8,16.7,78.9333,overcast clouds,Munurukapu sangam devarakonda
139,Virginia Beach,US,87.1,36.8529,-75.978,overcast clouds,Hilton Virginia Beach Oceanfront
140,Porto Novo,BJ,82.22,6.4965,2.6036,broken clouds,Tour Eiffel Hotel Benin
144,Nong Bua,TH,76.01,15.8646,100.5858,clear sky,ลภัสรดารีสอร์ท
152,Ambon,ID,75.34,-3.6954,128.1814,scattered clouds,Swiss-Belhotel Ambon
156,Pacific Grove,US,92.61,36.6177,-121.9166,clear sky,Lovers Point Inn
158,Hurghada,EG,80.64,27.2574,33.8129,clear sky,Sea Star Beau Rivage Hotel
161,Cayenne,GF,87.84,4.9333,-52.3333,clear sky,Hôtel Le Dronmi
164,Bantogon,PH,77.18,6.5333,124.0333,light rain,Kalamansig Greenhome
166,Jauharabad,PK,82.58,32.2898,72.2813,clear sky,MashaAllah Mobiles
168,Makakilo City,US,82.72,21.3469,-158.0858,few clouds,Marriott's Ko Olina Beach Club
169,Port Blair,IN,80.37,11.6667,92.75,broken clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
171,Dover,US,83.95,39.1582,-75.5244,few clouds,Days Inn by Wyndham Dover Downtown
179,Kaduqli,SD,77.76,11.0167,29.7167,few clouds,فندق الله جابو
181,Bela,IN,81.09,25.9333,81.9833,broken clouds,Raj Bhawan
183,Altamira,BR,89.69,-3.2033,-52.2064,scattered clouds,Requinte Hotel
184,Hilo,US,80.33,19.7297,-155.09,broken clouds,Hilo Hawaiian Hotel
186,Uribia,CO,92.12,11.7139,-72.266,overcast clouds,Hotel Uribia
189,Kaohsiung,TW,81.03,22.6163,120.3133,few clouds,御宿商旅-中山館
191,Avarua,CK,77.05,-21.2078,-159.775,few clouds,Paradise Inn
193,San Carlos,VE,87.08,9.6612,-68.5827,overcast clouds,Hotel Paternopoli
195,Lompoc,US,89.22,34.6391,-120.4579,clear sky,"Holiday Inn Express Lompoc, an IHG Hotel"
198,Kavaratti,IN,81.63,10.5669,72.642,overcast clouds,Hotels in Lakshadweep Islands
200,Jalu,LY,75.4,29.0331,21.5482,clear sky,صاحبة الفخامة
206,Fortuna,US,82.42,40.5982,-124.1573,few clouds,Super 8 by Wyndham Fortuna
209,Porto Velho,BR,93.25,-8.7619,-63.9039,scattered clouds,Hotel Central
214,Hambantota,LK,79.14,6.1241,81.1185,few clouds,Bungalow 63
215,Myanaung,MM,75.34,18.2833,95.3167,few clouds,Taung Hlay Khar
216,Victoria,HK,85.32,22.2855,114.1577,few clouds,Mini Hotel Central
218,Caravelas,BR,77.61,-17.7125,-39.2481,clear sky,Pousada dos Navegantes
219,Vanimo,PG,77.18,-2.6741,141.3028,overcast clouds,Vahmoneh Lodge Vanimo
223,Eureka,US,82.67,40.8021,-124.1637,scattered clouds,Eureka Inn Trademark By Wyndham
225,Porbandar,IN,81.52,21.6422,69.6093,clear sky,Lords Inn Porbandar
229,Les Cayes,HT,80.92,18.2,-73.75,overcast clouds,Villa Orphee
230,Ixtapa,MX,89.22,20.7,-105.2,scattered clouds,Hotel Plaza Providencia
233,Mani,CO,91.72,4.8172,-72.2886,scattered clouds,Hotel Belgrado
234,Gunjur,GM,82.47,13.2019,-16.7339,broken clouds,Kuba Lodge
237,Georgetown,MY,78.73,5.4112,100.3354,scattered clouds,Cititel Penang
240,Dicabisagan,PH,79.74,17.0818,122.4157,moderate rain,Nancy Montanes Bernardo
245,Sur,OM,83.19,22.5667,59.5289,clear sky,Sur Plaza Hotel
247,Maceio,BR,83.64,-9.6658,-35.7353,clear sky,Poutur Pousada
248,Pecanha,BR,88.99,-18.5486,-42.5569,clear sky,PEÇANHA GRANDE HOTEL
250,Isangel,VU,77.05,-19.55,169.2667,clear sky,Tanna Lodge
252,Baghdad,IQ,76.91,33.3406,44.4009,clear sky,Baghdad Hotel
253,Mahajanga,MG,78.82,-15.7167,46.3167,few clouds,Restaurant Greedy Coco Lodge Majunga
258,Niteroi,BR,75.58,-22.8833,-43.1036,broken clouds,Guesthouse
263,Hobyo,SO,78.49,5.3505,48.5268,overcast clouds,Halane Hotel and Restaurent
264,Oistins,BB,86.09,13.0667,-59.5333,scattered clouds,Butterfly Beach Hotel
266,Galle,LK,78.49,6.0367,80.217,light rain,Amangalla
269,Katherine,AU,84.52,-14.4667,132.2667,broken clouds,Pine Tree Motel
276,Lingao,CN,78.15,19.9103,109.6859,light rain,Lingao Ditai Inn
277,Sai Buri,TH,80.82,6.7013,101.6168,heavy intensity rain,ร้าน​ เวดดิ้ง
285,Guerrero Negro,MX,81.36,27.9769,-114.0611,clear sky,"Casa Laguna, Bed & Breakfast"
286,Daru,PG,77.7,-9.0763,143.2092,scattered clouds,Daru Lodge
287,Alyangula,AU,76.87,-13.8483,136.4192,broken clouds,Groote Eylandt Lodge
290,Ormara,PK,82.13,25.2088,64.6357,few clouds,Crystal Beach and Camping Resort Ormara
295,Nuevo Progreso,MX,83.89,23.1667,-97.95,scattered clouds,Balneario Rio el Paraiso
298,Neiafu,TO,79.48,-18.65,-173.9833,light rain,Mystic Sands Beachfront Accommodation
301,Maues,BR,90.5,-3.3836,-57.7186,overcast clouds,Hotel Miramar
304,Coahuayana,MX,90.88,18.7333,-103.6833,overcast clouds,El rranchito michuacan de ocampos
305,Sabha,LY,80.74,27.0377,14.4283,clear sky,Foundation Taaj Asala for Historical Research and Archeology
310,Katsuura,JP,75.18,35.1333,140.3,clear sky,Katsuura Hotel Mikazuki
316,Banda Aceh,ID,78.96,5.5577,95.3222,overcast clouds,Sulthan Hotel International
317,Redlands,US,92.95,34.0556,-117.1825,broken clouds,Dynasty Suites Redlands
323,Kahului,US,86.02,20.8947,-156.47,few clouds,Maui Seaside Hotel
324,The Valley,AI,87.66,18.217,-63.0578,broken clouds,CeBlue Villas & Beach Resort
325,Bani,DO,79.86,18.2833,-70.3333,overcast clouds,Hospedaje Henriquez
329,Camocim,BR,82.8,-2.9022,-40.8411,broken clouds,Hotel Ilha do Amor
334,Olinda,BR,80.33,-8.0089,-34.8553,scattered clouds,Hotel Albergue de Olinda
336,Auki,SB,77.63,-8.7676,160.7034,light rain,Auki Motel
340,Tezu,IN,75.24,27.9167,96.1667,overcast clouds,Circuit House
342,Alta Floresta,BR,91.22,-9.8756,-56.0861,scattered clouds,Floresta Amazonica Hotel
344,Road Town,VG,87.89,18.4167,-64.6167,few clouds,"ZINGARA 76ft Catamaran, full crew-all included"
349,Wahiawa,US,80.92,21.5028,-158.0236,scattered clouds,Aloha Wahiawa
351,Dzaoudzi,YT,75.09,-12.7887,45.2699,clear sky,Le Rocher
354,Anloga,GH,80.82,5.7947,0.8973,overcast clouds,Pin Drop Hotel
355,Garowe,SO,80.24,8.4054,48.4845,scattered clouds,Curubo Hotel
358,San Patricio,US,91.49,28.017,-97.5169,overcast clouds,"Motel 6 Sinton, TX"
359,Chapada Dos Guimaraes,BR,89.26,-15.4606,-55.7497,overcast clouds,Pousada Morro Dos Ventos
360,Vila Franca Do Campo,PT,75.2,37.7167,-25.4333,overcast clouds,Pestana Bahia Praia
362,Sheridan,US,84.58,44.8333,-106.9173,clear sky,Comfort Inn & Suites
367,Nouakchott,MR,84.13,18.0858,-15.9785,clear sky,HOTEL IMAN فندق إيمان
371,Riyadh,SA,86.14,24.6877,46.7219,overcast clouds,"InterContinental Riyadh, an IHG Hotel"
373,Biak,ID,75.25,-0.9131,122.8766,overcast clouds,Penginapan Kim
374,Belmonte,BR,79.3,-15.8631,-38.8828,scattered clouds,Pousada Monte Carmelo O Pão
377,Hungund,IN,79.02,16.0667,76.05,scattered clouds,B S Hosur Rrt PDO
382,Faanui,PF,78.31,-16.4833,-151.75,few clouds,Bora-Bora Pearl Beach Resort & Spa
385,Raleigh,US,85.39,35.7721,-78.6386,thunderstorm,Raleigh Marriott City Center
386,Poum,NC,75.15,-20.2333,164.0167,clear sky,Gîte kajeon
387,Biltine,TD,88.03,14.5333,20.9167,overcast clouds,Hôtel Trois Étoiles de Biltine
392,Salinas,US,93.0,36.6777,-121.6555,clear sky,Laurel Inn & Conference Center
