City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chokurdakh,RU,70.6333,147.9167,21.27,87,100,11.3,overcast clouds
1,Nikolayevsk-Na-Amure,RU,53.1406,140.73,32.68,82,61,3.33,broken clouds
2,Marzuq,YE,14.4,46.4667,79.56,51,4,2.64,clear sky
3,Viedma,AR,-40.8135,-62.9967,49.19,60,92,19.98,overcast clouds
4,Katsuura,JP,35.1333,140.3,72.19,80,70,8.77,broken clouds
5,Klaksvik,FO,62.2266,-6.589,43.72,75,86,6.89,overcast clouds
6,Isangel,VU,-19.55,169.2667,80.71,89,75,0.0,broken clouds
7,Punta Arenas,CL,-53.15,-70.9167,48.31,40,0,18.41,clear sky
8,Rundu,NA,-17.9333,19.7667,71.49,55,41,5.53,scattered clouds
9,Hilo,US,19.7297,-155.09,81.81,74,20,8.05,light rain
10,Rockingham,US,42.9668,-71.0995,61.36,83,98,2.35,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,44.26,53,0,17.27,clear sky
12,Veshenskaya,RU,49.6303,41.7334,41.79,49,3,10.96,clear sky
13,Yellowknife,CA,62.456,-114.3525,43.41,98,75,6.91,light rain
14,Bubaque,GW,11.2833,-15.8333,83.32,71,99,2.55,overcast clouds
15,Zharkent,KZ,44.1628,80.0,46.24,76,100,12.77,light rain
16,Bereda,ES,43.2686,-7.5406,55.58,100,100,0.09,overcast clouds
17,Golovchino,RU,50.5341,35.797,45.5,70,93,10.58,overcast clouds
18,Hobart,AU,-42.8794,147.3294,53.26,58,75,3.0,broken clouds
19,Saint-Philippe,RE,-21.3585,55.7679,69.39,83,16,5.75,few clouds
20,Barrow,US,71.2906,-156.7887,23.02,86,90,10.36,mist
21,Rikitea,PF,-23.1203,-134.9692,74.35,77,56,19.82,broken clouds
22,Bontang,ID,0.1333,117.5,76.3,92,89,7.7,overcast clouds
23,Busselton,AU,-33.65,115.3333,37.04,75,46,3.6,scattered clouds
24,Sambava,MG,-14.2667,50.1667,68.41,90,10,8.12,clear sky
25,Pangnirtung,CA,66.1451,-65.7125,37.4,75,90,5.75,overcast clouds
26,Hudiksvall,SE,61.729,17.1036,48.52,96,100,3.91,overcast clouds
27,Ritchie,ZA,-29.038,24.6028,56.41,14,1,9.75,clear sky
28,Ribeira Grande,PT,38.5167,-28.7,72.99,89,100,13.29,overcast clouds
29,Pacific Grove,US,36.6177,-121.9166,81.81,73,1,5.99,clear sky
30,Jamestown,US,42.097,-79.2353,74.52,82,40,4.0,scattered clouds
31,Hovd,MN,48.0056,91.6419,36.82,29,89,4.03,overcast clouds
32,Harper,LR,4.375,-7.7169,77.58,87,12,7.34,few clouds
33,Acarau,BR,-2.8856,-40.12,79.45,82,49,18.7,scattered clouds
34,Chuy,UY,-33.6971,-53.4616,55.8,72,0,7.23,clear sky
35,Hasaki,JP,35.7333,140.8333,66.6,83,6,5.17,clear sky
36,Saskylakh,RU,71.9167,114.0833,21.85,96,100,4.45,overcast clouds
37,Port Elizabeth,ZA,-33.918,25.5701,60.1,84,5,9.37,clear sky
38,Mongu,ZM,-15.2484,23.1274,72.16,65,62,3.89,broken clouds
39,Campo Maior,BR,-4.8278,-42.1686,90.61,34,100,2.21,overcast clouds
40,Pingxiang,CN,27.6167,113.85,70.21,85,0,1.77,light rain
41,East London,ZA,-33.0153,27.9116,60.06,83,36,8.01,scattered clouds
42,Rio Claro,BR,-22.4114,-47.5614,82.22,62,15,13.98,few clouds
43,Albany,US,42.6001,-73.9662,61.66,95,100,1.19,overcast clouds
44,Kapaa,US,22.0752,-159.319,82.72,70,20,3.0,few clouds
45,Cabo San Lucas,MX,22.8909,-109.9124,93.61,66,0,9.75,clear sky
46,Bumba,CD,2.1833,22.4667,70.74,95,22,2.33,few clouds
47,Port Lincoln,AU,-34.7333,135.8667,61.16,45,82,2.73,light rain
48,Soyo,AO,-6.1349,12.3689,75.83,77,100,8.61,overcast clouds
49,Kijang,KR,35.2442,129.2139,71.33,85,26,9.1,scattered clouds
50,Santiago,CL,-33.4569,-70.6483,74.64,28,0,9.22,clear sky
51,Caravelas,BR,-17.7125,-39.2481,75.34,82,65,9.15,broken clouds
52,Sioux Lookout,CA,50.1001,-91.917,75.27,46,40,8.05,scattered clouds
53,Ekhabi,RU,53.5102,142.9671,42.19,69,99,10.42,overcast clouds
54,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,83,90,5.75,overcast clouds
55,New Norfolk,AU,-42.7826,147.0587,52.92,45,99,3.83,overcast clouds
56,Kilindoni,TZ,-7.9139,39.6668,76.8,82,13,13.98,few clouds
57,Namibe,AO,-15.1961,12.1522,62.8,74,56,9.57,broken clouds
58,Vardo,NO,70.3705,31.1107,52.0,86,100,28.74,overcast clouds
59,Siva,EG,29.2041,25.5195,71.67,51,0,8.63,clear sky
60,Meulaboh,ID,4.1363,96.1285,75.85,86,100,3.96,overcast clouds
61,Les Escoumins,CA,48.1111,-69.0236,54.16,62,2,3.78,clear sky
62,Atuona,PF,-9.8,-139.0333,78.3,74,70,19.17,broken clouds
63,Vigrestad,NO,58.5667,5.7,54.0,77,64,16.04,broken clouds
64,Wakema,MM,16.6,95.1833,76.32,94,7,4.85,clear sky
65,Lazurne,UA,46.084,32.5295,57.83,57,92,22.75,overcast clouds
66,Port Alfred,ZA,-33.5906,26.891,60.76,82,34,13.47,scattered clouds
67,El Alto,PE,-4.2714,-81.2147,74.86,74,19,13.42,few clouds
68,Nemuro,JP,43.3236,145.575,49.23,79,100,1.97,overcast clouds
69,Faanui,PF,-16.4833,-151.75,78.93,67,25,15.26,scattered clouds
70,Inuvik,CA,68.3499,-133.7218,34.66,77,40,5.75,scattered clouds
71,Karratha,AU,-20.7377,116.8463,70.09,28,0,12.48,clear sky
